songName,Artist,Album,Genre,
Standing In the Rain,Action Bronson Mark Ronson & Dan Auerbach,Suicide Squad: The Album,Hip Hop/Rap,
Dream On,Aerosmith,The Essential Aerosmith,Rock,
Me,Atmosphere,When Life Gives You Lemons You Paint That S**t Gold,Hip Hop/Rap,
In Her Music Box,Atmosphere,When Life Gives You Lemons You Paint That S**t Gold,Hip Hop/Rap,
Yesterday,Atmosphere,When Life Gives You Lemons You Paint That S**t Gold (Bonus Video Version),Hip Hop/Rap,
Little Man,Atmosphere,You Can't Imagine How Much Fun We're Having,Hip Hop/Rap,
Critical Acclaim,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Almost Easy,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Scream,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Afterlife,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Gunslinger,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Unbound (The Wild Ride),Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Brompton Cocktail,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Lost,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
A Little Piece of Heaven,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Dear God,Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Almost Easy (Jam-Along Version),Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Bat Country (Live At Hammerstein Ballroom),Avenged Sevenfold,Avenged Sevenfold,Heavy Metal,
Shepherd of Fire,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Hail to the King,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Doing Time,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
This Means War,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Requiem,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Crimson Day,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Heretic,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Coming Home,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Planets,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Acid Rain,Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
Hail to the King,Avenged Sevenfold,Hail to the King (Deluxe Version),Rock,
St. James (Bonus Track),Avenged Sevenfold,Hail to the King (Deluxe Version),Heavy Metal,
All I Want Is You,Ball Park Music,Ball Park Music - EP,Alternative,
It's Nice to Be Alive,Ball Park Music,Ball Park Music - EP,Alternative,
Oblivion,Bastille,Bad Blood,Alternative,
Feeling This,blink-182,Blink-182,Rock,
Feeling This,blink-182,Blink-182,Rock,
Obvious,blink-182,Blink-182,Rock,
I Miss You,blink-182,Blink-182,Rock,
I Miss You,blink-182,Blink-182,Rock,
Violence,blink-182,Blink-182,Rock,
Stockholm Syndrome,blink-182,Blink-182,Rock,
Stockholm Syndrome,blink-182,Blink-182,Rock,
Down,blink-182,Blink-182,Rock,
Down,blink-182,Blink-182,Rock,
The Fallen Interlude,blink-182,Blink-182,Rock,
Go,blink-182,Blink-182,Rock,
Asthenia,blink-182,Blink-182,Rock,
Always,blink-182,Blink-182,Rock,
Always,blink-182,Blink-182,Rock,
Easy Target,blink-182,Blink-182,Rock,
All of This (feat. Robert Smith),blink-182,Blink-182,Rock,
Here's Your Letter,blink-182,Blink-182,Rock,
I'm Lost Without You,blink-182,Blink-182,Rock,
Cynical,blink-182,California,Rock,
Bored To Death,blink-182,California,Rock,
She's Out of Her Mind,blink-182,California,Rock,
Los Angeles,blink-182,California,Rock,
Sober,blink-182,California,Rock,
Built This Pool,blink-182,California,Rock,
No Future,blink-182,California,Rock,
Home Is Such a Lonely Place,blink-182,California,Rock,
Kings of the Weekend,blink-182,California,Rock,
Teenage Satellites,blink-182,California,Rock,
Left Alone,blink-182,California,Rock,
Rabbit Hole,blink-182,California,Rock,
San Diego,blink-182,California,Rock,
The Only Thing That Matters,blink-182,California,Rock,
California,blink-182,California,Rock,
Brohemian Rhapsody,blink-182,California,Rock,
Dumpweed,blink-182,Enema of the State,Rock,
Don't Leave Me,blink-182,Enema of the State,Rock,
Aliens Exist,blink-182,Enema of the State,Rock,
Going Away to College,blink-182,Enema of the State,Rock,
Dysentery Gary,blink-182,Enema of the State,Rock,
The Party Song,blink-182,Enema of the State,Rock,
Mutt,blink-182,Enema of the State,Rock,
Wendy Clear,blink-182,Enema of the State,Rock,
Anthem,blink-182,Enema of the State,Rock,
Carousel,blink-182,Greatest Hits,Pop,
M+M's,blink-182,Greatest Hits,Rock,
Dammit,blink-182,Greatest Hits,Pop,
Josie,blink-182,Greatest Hits,Rock,
What's My Age Again?,blink-182,Greatest Hits,Rock,
What's My Age Again?,blink-182,Greatest Hits,Rock,
All the Small Things,blink-182,Greatest Hits,Rock,
All the Small Things,blink-182,Greatest Hits,Rock,
Adam's Song,blink-182,Greatest Hits,Rock,
Adam's Song,blink-182,Greatest Hits,Rock,
Man Overboard,blink-182,Greatest Hits,Rock,
The Rock Show,blink-182,Greatest Hits,Pop,
The Rock Show,blink-182,Greatest Hits,Pop,
First Date,blink-182,Greatest Hits,Rock,
First Date,blink-182,Greatest Hits,Rock,
Stay Together for the Kids,blink-182,Greatest Hits,Rock,
Stay Together for the Kids,blink-182,Greatest Hits,Rock,
Not Now,blink-182,Greatest Hits,Rock,
Another Girl Another Planet,blink-182,Greatest Hits,Rock,
Snake Charmer,blink-182,Neighborhoods (Deluxe),Rock,
Heart's All Gone Interlude,blink-182,Neighborhoods (Deluxe),Rock,
Fighting the Gravity,blink-182,Neighborhoods (Deluxe),Rock,
Even If She Falls,blink-182,Neighborhoods (Deluxe),Rock,
Anthem Pt. 2,blink-182,Take off Your Pants and Jacket,Pop,
Online Songs,blink-182,Take off Your Pants and Jacket,Rock,
Happy Holidays You Bastard,blink-182,Take off Your Pants and Jacket,Pop,
Story of a Lonely Guy,blink-182,Take off Your Pants and Jacket,Pop,
Roller Coaster,blink-182,Take off Your Pants and Jacket,Pop,
Reckless Abandon,blink-182,Take off Your Pants and Jacket,Pop,
Every Time I Look for You,blink-182,Take off Your Pants and Jacket,Rock,
Give Me One Good Reason,blink-182,Take off Your Pants and Jacket,Pop,
Shut Up,blink-182,Take off Your Pants and Jacket,Pop,
Please Take Me Home,blink-182,Take off Your Pants and Jacket,Rock,
Intro,Bo Burnham,what.,Comedy,
Sad,Bo Burnham,what.,Comedy,
I F--k Sl--ts,Bo Burnham,what.,Comedy,
WDIDLN?,Bo Burnham,what.,Comedy,
Left Brain Right Brain,Bo Burnham,what.,Comedy,
#Deep,Bo Burnham,what.,Comedy,
Beating Off In A Minor,Bo Burnham,what.,Comedy,
Poems,Bo Burnham,what.,Comedy,
From God's Perspective,Bo Burnham,what.,Comedy,
Andy the Frog,Bo Burnham,what.,Comedy,
Out of the Abyss,Bo Burnham,what.,Comedy,
Repeat Stuff,Bo Burnham,what.,Comedy,
We Think We Know You,Bo Burnham,what.,Comedy,
Repeat Stuff (Studio),Bo Burnham,what.,Comedy,
Eff (Studio),Bo Burnham,what.,Comedy,
Nerds (Studio),Bo Burnham,what.,Comedy,
Channel 5 News: The Musical (Studio),Bo Burnham,what.,Comedy,
Hell of a Ride (Studio),Bo Burnham,what.,Comedy,
The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',Rock,
Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,Pop,
Siempre Te Voy A Querer,Calibre 50,Desde El Rancho,Regional Mexicano,
All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,Coloring Book,Hip Hop/Rap,
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Summer Friends (feat. Jeremih & Francis & The Lights),Chance the Rapper,Coloring Book,Hip Hop/Rap,
D.R.A.M. Sings Special,Chance the Rapper,Coloring Book,Hip Hop/Rap,
Blessings,Chance the Rapper,Coloring Book,Hip Hop/Rap,
Same Drugs,Chance the Rapper,Coloring Book,Hip Hop/Rap,
Mixtape (feat. Young Thug & Lil Yachty),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Angels (feat. Saba),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,Coloring Book,Hip Hop/Rap,
All Night (feat. Knox Fortune),Chance the Rapper,Coloring Book,Hip Hop/Rap,
How Great (feat. Jay Electronica & My cousin Nicole),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Smoke Break (feat. Future),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Finish Line / Drown (feat. T-Pain Kirk Franklin Eryn Allen Kane & Noname),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Blessings (feat. Ty Dolla Sign Raury BJ The Chicago Kid & Anderson .Paak),Chance the Rapper,Coloring Book,Hip Hop/Rap,
Father's Day,Chino XL,RICANstruction: The Black Rosary,Hip Hop/Rap,
Magic,Coldplay,Ghost Stories,Alternative,
Sparks,Coldplay,Parachutes,Rock,
Yellow,Coldplay,Parachutes,Alternative,
The Scientist,Coldplay,A Rush of Blood to the Head,Alternative,
I Started a Joke (feat. Becky Hanson),ConfidentialMX,Suicide Squad: The Album,Soundtrack,
