aah	[INTERJECTION] surprise, pleasure
aardvark	African earth-pig
aardvark	animal that takes ants as food
aardvark	ORYCTEROPUS AFER
aback	surprise
abandon	let go
abandoned	given up
abandoning	giving up
abandons	gives up
abate	make less
abated	made less
abates	makes less
abating	making less
abbreviate	make shorter
abbreviated	made shorter
abbreviates	makes shorter
abbreviating	making shorter
abbreviation	short form
abbreviations	short forms
abc	ABC
abdicate	give up
abdicated	gave up
abdicated	given up
abdicates	gives up
abdicating	giving up
abdomen	stomach
abdomen	[biology]
abduct	take away
abducted	taken away
abducting	taking away
abduction	taken away
abductor	one taking away
abducts	takes away
abeyance	not in present use
abhor	hate
abhorred	hated
abhorring	hating
abhors	hates
abide	keep to
abided	kept to
abides	keeps to
abiding	keeping to
abilities	powers to
ability	power to
abject	poor
abjectly	poorly
ablaze	in flames
able	able
abled	abled
abler	abler
ablers	ablers
ables	ables
ablution	washing
ablutions	washings
abnormal	not normal
abnormally	not normally
aboard	on
abode	living place
abolish	put an end to
abolished	put an end to
abolishes	puts an end to
abolishing	putting an end to
abolition	an end
abolition	end of SLAVERY
abominable	very bad
abominably	very badly
abort	give birth before ready
abort	come to an end (early)
abort	make short an operation
aborted	gave birth before ready
aborted	came to an end (early)
aborted	made short an operation
aborting	giving birth before ready
aborting	coming to an end (early)
aborting	making short an operation
abortion	give birth to dead baby
abortions	give birth to dead babies
abortive	that come to nothing
aborts	gives birth before ready
aborts	comes to an end (early)
aborts	makes short an operation
about	about
above	over
above	more than
abreast	level
abridge	shorten
abridged	shortened
abridgements	shorter forms
abridges	shortens
abridging	shortening
abridgment	a shorter form
abroad	in another country
abrupt	sudden
abruptly	suddenly
absence	not present
absent	away
absence	[second]
absences	not present more than once
absences	[second]
absent	not present
absented	made not present
absenting	making not present
absents	makes not present
absolute	complete
absolutely	completely
absolve	make free from
absolved	made free from
absolves	makes free from
absolving	making free from
absorb	take up
absorbed	taken up
absorbent	able to take
absorbing	keeping the attention
absorbs	takes up
absorption	being taken up
abstain	keep from
abstained	kept from
abstainer	person who takes no strong drink
abstaining	keeping from
abstains	keeps from
abstemious	taking little
abstract	short account
abstract	make a short account
abstract	take from
abstracted	made short
abstracted	took from
abstracting	making a short account
abstracting	taking from
abstraction	take out
abstraction	idea
abstraction	not a solid fact
abstractly	having thoughts on other things
abstracts	more than one short account
abstracts	makes short account
abstruse	out of the way
absurd	without reason
absurd	foolish
absurdity	foolish thing
absurdly	foolishly
abundance	more than enough
abundances	more than enough
abundant	more than enough
abuse	wrong use
abuse	make wrong use of
abused	made wrong use of
abuser	one making wrong use of
abusers	persons making wrong use of
abuses	wrong uses
abuses	make wrong uses of
abusing	making wrong use of
abusive	having tendency of wrong use
abysmal	deep, without limit
abysmal	very bad
abysmally	very badly
academic	of a university
academic	of theory
academic	not of doing
academically	by theory only
academics	of a university
academics	theories, not doing
accelerate	increase in rate
accelerated	increased in rate
accelerates	increases
accelerating	increasing in rate
acceleration	increase in rate
accension	on the way up
accension	amount of slope
accent	way of saying words
accent	way up
accent	give weight to sounds
accenting	way of saying words
accenting	giving weight to
accents	ways of saying words
accents	give weights to sounds
accept	take
accept	say yes (to offer)
acceptability	able to please
acceptability	be pleasing
acceptability	able to say yes (to offer)
acceptable	pleasing
acceptable	say yes (to offer)
acceptance	taking
acceptance	belief in
acceptance	account of exchange
acceptance	[business]
acceptances	takings
acceptances	beliefs in
acceptances	accounts of exchange
acceptances	[business]
accepted	taken
accepted	took
accepting	willing
accepting	taking
accepts	takes
access	way in
access	make use of
accessed	made way in
accessed	made use of
accesses	ways in
accesses	makes use of
accesses	makes way in
accessible	able to be got to
accessing	making way in
accessing	making use of
accessories	additions
accessories	helpers in an act
accessory	an addition
accessory	helper in an act
accident	chance event
accident	[business, second]
accidental	unhappily
accidentally	unhappily
accidents	chance events
accidents	[business, second]
acclimatize	get used to new conditions
accommodate	give space
accommodates	gives space
accommodating	giving space
accommodating	ready to do
accommodation	rooms
accompanied	was with
